Day,Expiration,Date,Spot Price,Strike Below,Strike Above,Call Below,Call Above,Put Below,Put Above
1,11-25-2022,05-25-2022,723.25,720,730,66.25,62.25,63,69
2,11-25-2022,06-01-2022,691.5,680,690,64.125,60,52.75,58.5
3,11-25-2022,06-08-2022,717.75,710,720,64.125,60.125,56.5,62.375
4,11-25-2022,06-15-2022,721,720,730,62.375,58.5,61.375,67.375
5,11-25-2022,06-22-2022,693.75,680,690,63.875,59.75,50.25,56
6,11-25-2022,06-29-2022,653.75,650,660,56.125,51.875,52.375,58.125
7,11-25-2022,07-06-2022,585,580,590,51.75,47.5,46.75,52.5
8,11-25-2022,07-13-2022,595.25,600,610,51.625,48,56.375,62.625
9,11-25-2022,07-20-2022,590,580,590,50.75,46.375,40.75,46.375
10,11-25-2022,07-27-2022,603,600,610,46.875,42.625,43.875,49.625
11,11-25-2022,08-03-2022,596.25,590,600,44.25,39.875,38,43.625
12,11-25-2022,08-10-2022,618.5,610,620,45.625,41.25,37.125,42.75
13,11-25-2022,08-17-2022,612,610,620,37.75,33.5,35.75,41.5
14,11-25-2022,08-24-2022,657.25,650,660,45.5,40.875,38.25,43.625
15,11-25-2022,08-31-2022,670.5,670,675,38.75,36.5,38.25,41
16,11-25-2022,09-07-2022,671,670,675,36.25,33.875,35.25,37.875
17,11-25-2022,09-14-2022,682.25,680,685,33.25,30.875,31,33.625
18,11-25-2022,09-21-2022,676.375,675,680,31.125,28.75,29.75,32.375
19,11-25-2022,09-28-2022,670.5,670,675,29,26.625,28.5,31.125
20,11-25-2022,10-05-2022,684,680,685,28.625,26.25,24.625,27.25
21,11-25-2022,10-12-2022,693,690,695,24.875,22.625,21.875,24.625
22,11-25-2022,10-19-2022,678.25,675,680,20.5,18,17.25,19.75
23,11-25-2022,10-26-2022,685,680,685,18.75,16.25,13.75,16.25
24,11-25-2022,11-02-2022,687.5,685,690,15.25,13,12.75,15.5
25,11-25-2022,11-09-2022,664.5,655,660,15.875,12.875,6.375,8.375
26,11-25-2022,11-16-2022,665.25,665,670,7.875,5.625,7.625,10.375
