Day,Expiration,Date,Spot Price,Strike Below,Strike Above,Call Below,Call Above,Put Below,Put Above
1,10-26-2022,05-25-2022,1512.75,1500,1520,96.5,88.375,83.875,95.625
2,10-26-2022,06-01-2022,1515.25,1520,1540,88,80.25,92.625,104.875
3,10-26-2022,06-08-2022,1568,1560,1580,94.125,86,86.25,98
4,10-26-2022,06-15-2022,1523.5,1520,1540,88.625,80.625,85.125,97.125
5,10-26-2022,06-22-2022,1476.5,1440,1460,96.5,87.25,60.25,70.875
6,10-26-2022,06-29-2022,1478.25,1460,1480,92.25,83.625,74.125,85.375
7,10-26-2022,07-06-2022,1322.75,1320,1340,75.125,66.875,72.375,84
8,10-26-2022,07-13-2022,1349.5,1340,1360,93,74.625,73.625,85.125
9,10-26-2022,07-20-2022,1332.25,1300,1320,87.375,77.5,55.25,65.375
10,10-26-2022,07-27-2022,1410,1400,1410,79.75,75.25,69.875,75.25
11,10-26-2022,08-03-2022,1369.75,1360,1370,75,70.375,65.25,70.625
12,10-26-2022,08-10-2022,1427.75,1420,1430,71.25,66.625,63.5,98.875
13,10-26-2022,08-17-2022,1390,1380,1390,62.75,57.875,52.75,57.875
14,10-26-2022,08-24-2022,1457,1450,1460,61.375,56.625,54.375,59.625
15,10-26-2022,08-31-2022,1422.5,1420,1430,54.125,49.375,51.625,56.875
16,10-26-2022,09-07-2022,1383.5,1380,1390,47.25,42.625,43.75,49.125
17,10-26-2022,09-14-2022,1455,1450,1460,46.875,42,41.875,47
18,10-26-2022,09-21-2022,1431.875,1425,1435,43.625,38.625,36.75,41.75
19,10-26-2022,09-28-2022,1408.75,1400,1410,40.375,35.25,31.625,36.5
20,10-26-2022,10-05-2022,1369.75,1360,1370,32.25,26.875,22.5,27.125
21,10-26-2022,10-12-2022,1396,1390,1400,21.5,16.375,15.5,20.375
22,10-26-2022,10-19-2022,1372.5,1370,1380,9.875,5.375,7.375,12.875
